alley,ALY
annex,ANX
arcade,ARC
avenue,AVE
beach,BCH
bend,BND
bluff,BLF
boulevard,BLVD
branch,BR
bridge,BRG
brook,BRK
bypass,BYP
causeway,CSWY
center,CTR
circle,CIR
court,CT
cove,CV
crescent,CRES
crossing,XING
drive,DR
estate,EST
expressway,EXPY
extension,EXT
field,FLD
flats,FLTS
ford,FRD
forest,FRST
fork,FRK
freeway,FWY
garden,GDN
gardens,GDNS
glen,GLN
green,GRN
greens,GRNS
grove,GRV
groves,GRVS
harbor,HBR
highway,HWY
hill,HL
hills,HLS
junction,JCT
key,KY
keys,KYS
lane,LN
loop,LOOP
meadow,MDW
meadows,MDWS
motorway,MTWY
north,N
oval,OVAL
park,PARK
parkway,PKWY
pass,PASS
path,PATH
pike,PIKE
pine,PNE
pines,PNES
place,PL
plaza,PLZ
point,PT
pointe,PT
ridge,RDG
ridges,RDGS
river,RIV
road,RD
roads,RDS
row,ROW
south,S
spur,SPUR
spurs,SPUR
square,SQ
station,STA
stream,STRM
street,ST
summit,SMT
terrace,TER
throughway,TRWY
trace,TRCE
track,TRAK
trail,TRL
turnpike,TPKE
viaduct,VIA
view,VW
vista,VIS
walk,WALK
way,WAY